sentiment,content
love,@jaykpurdy LIKE DREW SAID &quot;GIVE TC A CHANCE&quot; WE WILL MISS THOMAS  BUT HAVE TO MOVE ON. SO WATCH THIS! http://bit.ly/r6RfC
worry,i soooo want to get a Nikon D 90  damn y do they cost soooo much!
neutral,"thinking lots of revision tomorrow  woo, hope it a sunny one."
sadness,"@Dap23 ohh, i'm watching my best friend's wedding. it's so sad.."
enthusiasm,trying to upload one thousand photos!!
sadness,@jennabeaniscool won't need my hugs anymore
worry,imm tired of callin @mitchelmusso &amp;&amp; hearin other convos  i wanaa call himm!!
sadness,"@mitchelmusso I REALLY WANT TO TALK WITH YOU MITCH! but I live in Indonesia, I cant call you  at least, give me a shoutout please??"
anger,I am beginning to think sun blcok is a haox.
sadness,i miss my baby  hateeeeee it
neutral,am now wearing the other half of the glass of sparking wine
neutral,@jamesh_1993 Nope not yet  Within 10 working days from Thursday. It should be in before 2 weeks Wednesday. It'll be in before that! I hope
sadness,Why did everyone seem to leave me this weekend  ....sigh. In bed
sadness,@DaysofBigWheels I wish I could see that first hand
sadness,I am SO MAD that Glee won't premiere till Fall
happiness,Missing my morning work out cause my bench press is back in Jakarta  goodluck diga! Test will be easy peasy! Hehehe
worry,Everyone on the eastcoast... the rain hates us  let's just all fly to Cali. LOL
empty,@reveng101 yeah I know it's so stupid !!!!!!! There no jobs I mean come on
worry,"@WerewolfEmbry No, trying to reason with it. It didn't listen"
sadness,@charlieks @tonita_face @emmaleeks and nana.wish i was there last night
sadness,@jeannethinks I would love to see the sun again.  It has been raining here for 3 days now.
sadness,@paaaulaaac me too  even my life is pretty good but i always say its shitty
worry,Squashed Foot  xx
worry,"@WonderlandDream I can't, I have an exam on wednesday"
neutral,"@maggit talk to their creators yesterday no date for public release, just developers"
fun,Yeahhhhhhhhhhhhh friday..and I work tomorrow
hate,@Miss_Molotov Go much bamboo? Would you like to attempt to structure a sentence that makes sense? Why did i fail english and others pass?
empty,Chino - Gentleman Jack is pouting because Mommy is gone to dinner.  http://apps.facebook.com/dogbook/profile/view/6891977
worry,@BigEish How?? and who is Mommy??? I want to call but the phone is still broke
worry,@erin_elaine Our chandelier is here! I seriously don't know how 2 get it through our door without sending it crashing down our steps
sadness,@xzenax Bad times for everyone  Whywhywhy do we have to write essays  No fair!
worry,Back from comedy night. Great fun. It's only midnight. I'm knackered. I'm getting old
worry,why does it randomly hangup on me?
neutral,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness
neutral,@PJ1221 me too
worry,I am unhappy
empty,Ugh sittin at work waiting for the carpets to be cleaned.  I was suppose to be out by 7
worry,"@GentlemanRiot yeah, I thought they weren't food grade, but apparently they were. Kind of a big waste."
enthusiasm,@cnolovechild YAY!!! I think I found it and a few more
worry,"Also, why are paracetamol so hard to swallow? Even when the long ones are snapped in half. Ow."
surprise,??????? #bash ?? ??????? ????????? ????
sadness,my attempt to sync facebook and twitter seems to have failed
worry,@TeamCyrus AHHH! still not following!! Do you think she forgot??
neutral,wants to go the the vintage paper show but no one will accompany her
sadness,"It's patio weather in Kirkland!  It's also launch-yer-boat weather, except I'm missing the boat part"
relief,@mitchelmusso WISH YOU COULD CALLL ME  DO U HAVE A UK MY SAY NOW NUMBER? UR ACCCE! X
worry,I want a lie in tomorrow! Won't be getting one though
sadness,Dann and I are in Vegas. We misconnected and our next flight is at 4:45 to Midway. Tonight I will be in a hotel w/o undies
sadness,today was the last day of high school for me and i ended up going home sick! ... stupid dead rats
hate,@bongy_k Your teacher sounds uber disrespectful.
worry,@tinylegacies D: But it is making people unhappy and I dun like unhappiness
surprise,@AustinWilde  well i see ur moving onto the next cute guy
love,@tpyle I know.     #hhrs
neutral,@Twilight_sm Do you know why we have two Categories on our website? I'm trying to remove one but i can't.
worry,@tccrt3r !! WE WILL MISS THOMAS  BUT HAVE TO MOVE ON. SO WATCH THIS! http://bit.ly/r6RfC
sadness,going to the memorial for the guy in my grade that died.
fun,I need to look at apartments tomorrow
neutral,@morganeleanor ew I know EXACTLY what you're talking about
sadness,@mitchelmusso http://twitpic.com/67swx - i wish i was calling you but i can't from Malta
worry,"@darvin111 you don't even care about there, their, and they're."
worry,Doesnt feel good!  but I cant miss work tomorrow!
neutral,@Jayme1988 not really sure. need to deposit and save some money
worry,dang that burrito and toaster strudle(sp?) was just a tease im still hungry
love,"@JRKNaughtyAngel You lucky girl! I also wanna see them (again LOL) I wish they'd come to europe again, but I doubt that"
hate,i bit my lip...hate it when i do that.
neutral,@pkeith If only you'd come the sick one...with inflamed vocal cords
sadness,@KeeganFrank: I just don't want to be here.
enthusiasm,"I have an awesome picture of happy pint, but it's not sending"
worry,@HolidayParade so close to tennessee
neutral,I need new socks
worry,http://twitpic.com/67tcr - Ouch!! Burnt my arm on the grill
worry,@buddahwong i wish you were in my class last year
neutral,i want come back to U.S.A.
sadness,on my way to shreveport to forget all the bad things he's brought into my life
love,feeling better. drugs are awesome! sad waste of a 3 day weekend!
neutral,Time for a clean up.
neutral,"debating whether to go to bed and start reading the last harry potter book, even though as soon as i start reading it, i won't wanna stop"
hate,I have had the William Shatner version of Rocket Man in my head for 3 days now. It's fucking distracting
hate,I hate being yelled and sworn at
surprise,Why is no one online?
sadness,Crossing the bridge....leaving ocean city  I'm sad.
worry,is poolside. Bowling toniht maybe?? Back to work tomorrow
enthusiasm,@mnrmg I am doing the same  I want to travel a little!
worry,Ouch...waited to long to get eyebrows waxed
sadness,@annamessias i miss yoooooooooooooooooooou my poia
surprise,Wowzer! It's very windy. Not good for my allergies!!
neutral,says it's raining again  http://plurk.com/p/x2ydn
sadness,"very much disappointed with the angels and demons movie  shame, it was a great book"
love,I wish Saturday Night Fever was on again! I couldn't stay up lastnite for the whole thing
love,95 degrees and a crappy a/c
worry,I drive &gt;90mph on a daily basis. u cld film Fast &amp; Furious off of me. But anything  &lt;1 mph is not my forte'. I bump Anything!.
worry,going 2 bed.  its gonna be a looong day tomorrow with the sun shining and i'll be inside working like a (hot)dog! (who makes sandwiches)
happiness,Well good job to my two cousins that are graduates! Good luck in life!!!  &lt;never wear your pajama pants to school  &gt;
enthusiasm,"@starrjonze that's the prob, i work from home, and the bed's calling, no, screaming out my name! had really strong coffee instead"
worry,@greenphoenix09 thanks!!! But ummmm can't find that option  http://myloc.me/21F2
sadness,@Rorzshach Oh no  -hugs-
sadness,"@JennaSnacks it's best if i check it while it IS up. when it's down, i can't really see anything"
boredom,bored fixed the internet for my dad but now im bored to death
surprise,Finally watched the last couple episodes of The Office on NBC ( #theofficenbc ) - I now understand why Gervais stopped after 2 seasons
sadness,RIP Big cup... I will miss you
worry,"Eugh, just seen a huge spider running about &amp; had to kill it with my shoe... I HATE spiders... &amp; crawlies that come out in humid weather"
neutral,"@toee speaking of meeting people, do you have them photos of us and oli? i lost them"
sadness,can't set p my phone to twitter
hate,"@Spidersamm ohh yeahh (: i'm probs gonna be a loner to start with, thanks to the person i was gonna go with be a bitch"
sadness,he's outta the ofc til Monday ::GRAND:: kinda bummed me out but b/c I was genuinely sick there's nuthin I can do about it  --&gt;
worry,Uhh badddd day. Tired and ready for it to be over
sadness,thinking about life and my dreams. why does it seem so appealing to give up?  im so jealous of every band/artist who is living theirs out
worry,If my phone dies I will die too!
sadness,Spendin time with ant before he's gone for the night
neutral,@KimSherrell not me  sigh
empty,"@shanselman still no class loaders, or even custom assembly loaders"
worry,... looks like it's gonna rain
neutral,Once again I am looking for a new beard - it just fell out the window  Any bright green ones this time?
love,@annamessias i miss yoooooooou my poia
sadness,@keithjoforever why are you so angry keith...  whats up...
love,@jordanknight PS- Missed your tweets today!!!  Guess I'm addicted too.
neutral,@TeamTSwift I no  i wanna move to america!!!!!!!!!!!!!!!
worry,@JayFmOnline i hope so. i really need one! we'll see. unfortunately drama always finds me.
happiness,@RamEsRock  rompes mis ilusiones con lo de thrasher haha
sadness,Sickkkk  ....and I need 11/20--NOW.
love,@momof3crazykids that's awesome. Can't believe they have the poster up Already! I haven't seen one over here yet
worry,can't set up my phone on twitter
worry,@KallieT this is sounding like the worst lurgy ever - the one that just won't go away ..  ...are you ready for end-of-rope action yet??
love,@Karetron I KNOW!!!! Its all stormy outside.. and my hair looks cute today..  hahah
neutral,Acaaaaaabou
worry,Wat a nice day it was 2day!me and rachel decided to walk to work and walk back lol..was so warm inside tho
worry,"@hopeless_hearts hey,got your text. cannae hen, family are comin over  i've got nae money to come to livi anyway  xxxx"
worry,@miss_cass my throat hurts today.  blahhh.
worry,How to ruin Friday? Your dad tells you there's something wrong but you should be at home so he can call you. He usually *never* calls
worry,@mateomac l'm on 3 days too matt. No fun this weekend.
happiness,Glad to be home I wish I could make @CBrown7785 feel better
love,@Rorzshach  *hugs*
happiness,"Crisis averted!  Phew! On a different note, @AmeeC3 and @Zelenski....you guys are making me so proud! tear!  wish i could have joined"
surprise,@fedexwifey oh no! thanks for that blog entry but I ordered mine a  few days ago! I feel so dumb
sadness,@LilEmoBoi warm and wet  spent the day carpet cleaning the yacht
worry,Trying to figure out how this works  ... BOO
sadness,They are out of ice cream at the Crazy Mocha in SS. This means no Espresso Milkshake..
worry,"@scavengerlor hey thought ud be on here most likely, im stressed out  i really dont know why  x"
fun,@Dannigyrl Fabulous. And I didn't get that pic  Gmail be acting the fool sometimes. Can u DM me it?
sadness,@dezurita nooo it was a real mushroom! but our neighbor uprooted it
empty,I should stop trying to reach @mitchelmusso
neutral,? ? ? You can't be 29...on Sugar Mountain...(or so people tell me...)  ? ? ?
fun,@glennbeck we can't wait to see you too! pls come back to iowa it isn't the same at the theatre
sadness,Tired.....but can't go to bed yet.....
neutral,made a little cover for my iphone.  the birds aren't upside down on the back  http://twitpic.com/67tp9 &amp; http://twitpic.com/67to5
sadness,notthebest weekend....but oh well....I have a right to be sad
love,"maybe someday. i lova ya, friends!! my computer sucks  listening to coldplay&lt;3 tomorrow meet my bbff"
sadness,Puzzled by people's mood swings... it makes me somewhat sad that I can't pinpoint  how  they feel
neutral,homework
worry,@CrossedOutName pandora is blocked at my work  bummed
empty,just had a falling out with nick
sadness,made a little cover for my iphone.  the birds aren't upside down on the back  http://twitpic.com/67tp9 &amp; http... http://bit.ly/FjeAm
worry,I'm so bunged up!! I Hate colds!!
fun,"Romeo and Juliet were very much in love when they were wed. They honored their vows, and where are they now? they're dead."
sadness,"Watched Ten Pounds last night, brilliant movie,I couldnt stop weeping!!!"
sadness,@cecamy it's nto as good
empty,I had to unhook twitter from Facebook because all my Facebook cronies were complaining.
worry,"back from dr. appt. no real diagnosis (hmph), just prescribed antibiotics, and an inhaler to help w/ the extreme coughing."
worry,"Oh hey, look, North Korea are going to kill us all; or at least some of us."
happiness,either my inerne is fucked or my mind is but i'm pretty sure that it's the internet
worry,"WIDE awake, scoffed 3/4's of a pizza and feel like a sumo  such a weak day! Run tomorrow"
worry,http://twitpic.com/67twh - This has never happened before =/ orange blinky lights. I think I've broke my battery again
neutral,Nobody is up this early
sadness,everything is going wrong in my &quot; happy day&quot;
neutral,cleaning my room
hate,"Okay, so the only reason I'm not buying this app is because I hate EA and all that it stands for. SimCity rocks though.  http://is.gd/JpMM"
sadness,going to bed  cant take thiss any longeerr maan. [U]
happiness,@sugafactory omg me 2 !! Haha i was half an hour late 4 work whoops !! Hahaha i h8 workin sat mornins
neutral,"@JohnHLynn Now it let me upload a pic, but I don't have one of myself in the PC"
neutral,"@opieswifey Unfortunately, no."
sadness,"@rmetalbroad belay the swimsuit, hot tub won't be ready this weekend.  sadness"
love,@depravedDyer @YarnHarlot Sending you both TONS of thankful love for Sock Summit. I can't believe the utter crap that some people spew.
empty,@haemoglobin_ Why?
sadness,Bah! Still at work. Lol my feet hurt and my nose won't stop running!
sadness,@divarina21 i dont evn talk 2 him no more. it was a huge mistake. i shoulda listened 2 her. i kno she's disappointed in me.
neutral,@allcash4homes me too
worry,I feel useless I don't know what to do right now. I'm so bored
neutral,@Squallee Yeah same
neutral,Angus down 3-1 in first set     http://yfrog.com/10jsepj
empty,"@cheerleaderlexy she interviewed us on books. I was gonna say something, but she was all &quot;Wait, I have something to say!&quot;"
sadness,has finished exams.... has (almost) moved out of halls and is leaving london tomorrow
sadness,That's okay... I didn't want to watch shelby anyway!
neutral,@damond_vip bye bye beard
worry,@bigkelleh i am sorry  that sucks. i got my overtime in my check already today....now i am really tempted to blow off tomorrow
neutral,@ohcea nope
neutral,Ha! I think I really have lost it. Time to get ready for work.
neutral,@Littlebitofmoni I couldn't get used to the columns in tweetdeck.  There was only room for 4 or 5 columns on my macbook.
worry,@marginatasnaily haha..i wont  well il try not..lol... night chick..xxxxx
surprise,@LightAesthetic  what about sauce? Huh? I'm going to california tomorrow morning
sadness,Twitter's being lame and won't post my twitpic of Gucci and I
surprise,sickkkkk.  GET ME OUT OF THIS HOUSE! need to get active. whats going down? Celina havin a party? hit me uhpp!
surprise,@joeag ahh. That sucks.
happiness,"@rgoodchild yeah it made a great noise, and tripped the house circuit breaker. Good Times. $200 worth of parts too"
neutral,@agent242 Nothing yet
worry,Hate being skint  Anybody want to give me another job? haha!
sadness,@bigkelleh but i know i can't
worry,Poor Flores! Not happy about the latest news  #Nats
relief,@JPuno Good to see you back. Sorry that happened to you
neutral,Golden Girls marathon about to end  #lofnotc
worry,I just burnt my ear
sadness,@BIGBOYRAMSACK kenny u alive!!!...I'm here getting da hair done..to bad I'm not chillin w/ u todat  kinda sad
happiness,getting ready to see my cousins graduate.  gonna miss em.
enthusiasm,@RoboRoxy @lulzlix I'm SO jealous! I don't know when I'll be able to see Conan.
sadness,@Lilayy same here. like i know there's people who have worse lives than me but i wish i could go back and change some aspects of my life
worry,@m_longman yes i am.  but she didn't follow me
neutral,@lemonchild45 what's the matter chickadee?
love,Getting a pedicure. I love these. My massage did not include a leg/arm/foot massage today.
happiness,Jon made one of the greatest dinners ever: roast pork tenderloin on a bed of wild rice on a bed of mixed greens &amp; yummy sauce. No wine
sadness,Trully a awful day! Shitty!
empty,i am so bored.
surprise,Awe...man...i missed registration 4 #flashcamp
love,Is it wrong that I love John Travolta
relief,Im glad that wasnt my real diver theory test! I failed  i got 70% 35/50 questions right but i did have 35mins left lol x
sadness,Getting ready 2 leave 2 a girl scout metting..Don't feel like it but I have 2.....
empty,I don't saw the movie
sadness,I am so hungry...if my arm were on the core diet I would eat it!  Guess I have to wait until dinner is ready
worry,@drunkenlovee it'd take jamy 6 months to figure out how it works. I wanted to go see a movie tonight! then i remembered the game was on
worry,i need monies.  school is expensive.
hate,"fuuuuu, helllla sleepy, had no lunch, now I'm working 4 to 10... gota wait till 6 to eat."
sadness,i miss @baltigirl97!! she's gone for the WHOOLLLLEEEE weekend!!! boo hoo
sadness,Sick of fighting so it looks like no more burlesque for me
worry,@jonheadley @jsanfridsson gutted i miss that! the one night i try 2 leave early  lol! friends visitin were tired haha!
neutral,cleaning my room
worry,Major iPhone problems  Wont let me send texts BUT I can do everything else! Can anyone help
sadness,@greenlabel aww that's awful. Makes me so sad
happiness,@talk2donboy LOL well i'm qlad u enjoyed yur ramen noodles.. i had fried chicken  ..im tired now
neutral,#followfriday @T_1001 cuz ive never been added to anyone's followfriday either  &amp; cuz he's got a cool picture
worry,@MyInnerTricia it is gay...u have dissappointed me that past few days
worry,@heyheykarla I'm sorry about your car. I feel for you...
neutral,This GAR keeps going out - 3rd relight
worry,@nicksantino NICK WTF I WAS GONNA GO BUT I HAVE NO RIDE. Boo
neutral,left the bases loaded...
neutral,im slightly over it dont feel like today much at all
worry,Sugarland. So hot outside.  why so much hotter than the northwest?
hate,Stupid hand. Have A2 and flop nut low and top pair. But guy had also out low and out flush. Quartered.  at 5900.
sadness,Is feeling a bit lonely
worry,sad ending to the softball season.
worry,"@lizwebpage Hmmm...chinese delivery it is. Altho, how will I order? I CAN'T TALK!"
hate,I am slowly getting angry at this Jon and Kate Plus 8 thing
love,I love to jazzercise with Mrs. Underwood. I wish she was my chaperone.
sadness,@infobunny Ouch. Realising how sheltered my upbringing was.
surprise,Believe it or not I'm a super geek
happiness,hey im back on.. but msn won't work  darn msn haha. can't stop thinking about 3d movie haha!
relief,"Oh.  The voting is over!   But don't worry, I already voted for you about 100000000000000000000000000000000000 times earlier!!!!!!  &lt;3"
worry,@TFA2431 aweee im sorry  but deep down u know i love ya!
anger,Just found out my parents are putting down my dog tomorrow morning. Upset
sadness,@Eric_John Sounds like a terrific service. I'm sorry to hear about her mom.
worry,Some guy just said he wanted to spank me
neutral,The Palm pre doesn't record video
sadness,Honestly at home alone
hate,"@Daft_Punk_Robot  wtf.....winter isn't due til monday, am freezing"
neutral,Watching ET today!  &lt;3 Supposed to have a clip from New Moon  Hating Drag Me To Hell
sadness,@TheEllenShow Ellen..why you got to lie?   I'm so sad rite now.
sadness,Stars and Sons was hard to review. Didn't grab me instantly this morning so will have to delay the review to a 2nd listening tomorrow
sadness,@TaLisaDuhhh i miss bein 18
surprise,"Got fully denied tonight  sleep time now, lnd in morn!"
sadness,@MrMarcusX was jst out there wednesday
empty,i am going to be staring at hello kitty's face at 3-9
worry,@LysdelTellez I am lost. Please help me find a good home.
sadness,Off to the gym by myself!  no fun!
worry,how bad has life gotten where u  werecounting on the church50\50 raffle? the answer is real bad
worry,"@meekorouse Very cute - I don't think I can make it to MakerFaire, sadly"
worry,@hopei91 I am lost. Please help me find a good home.
happiness,@TheKellanLutz OMG i want to go too!  hahaha
surprise,@meryreino Really? Awesome..Im mad cuz my followers r goin down  *Take A Breath*
relief,sitting at home cuz my plans for tonight cancled  but they are on for tomo so that makes me happy  ctc or txt me!
happiness,@AnnaDiFilippo have fun without me pasty  &lt;33
fun,@ReminisceSmith im only on 1800  lol
worry,Wishing it was naptime
empty,@robert_avalos lucky ass bitch I am stuck at work
neutral,@EmmaAutumn ah same  how was oliver?? so anooyed i couldnt come. we are the only ones with twiiter  its great! x
hate,@Vahevalarain awe.. that sucks and I can't... we're trying raffis' birthday 2.0  &lt;3
worry,mad the rain got me...now i cant go see jaiden   *|)|/-\|\|/-\*
worry,Miss the newest version on Glade on Debian..
worry,Boredom isnt any fun..Wish I had somebody to hang out with tonite..
neutral,"@madamminnie if I skipped, that could get messy   ROFL"
sadness,seagull hates me and im utterly depressed about it. i miss him.
worry,"@cageyjames Nope, won't be  .. Although I am not sure I want to go!"
worry,It's gloomy as hell outside today.
sadness,Idk i cant do shit
neutral,@NerdAtCoolTable I can't find any
neutral,@sachis30stm yeah! but too late  lol
sadness,@LadyLogan I wish I could...but I'm @ work when she's on...
worry,@trent_reznor...are you really not touring anymore????  my brother told me. I'll miss ur concerts!!
sadness,Got the CofO to late didn't close today   Will close Monday....back out to meet a buyer tonight to show a few homes to
neutral,Craziier are off of msn!
anger,Apperently ea knows my copy of the sims 3 is not legit and is upset
sadness,So bored.... couldn't go to a-kon...
sadness,chris sab and i = COMME ESTAS BITCHES
worry,"@tbirdj Oh man, that sucks  I'm sorry, doll."
sadness,"Hummmmm..... ohh  i miss you so much!!! really, but i hope you have a nice friends, like us :]"
worry,@shanselman: first impression is that it's considerably  slower to boot than 2008  #beta1
worry,how sad. last entrance 2cal academy of science was at 4pm. and it was zipcode free day too.
worry,"this hole twitter thing is new too me, its not letting me change my picture so your stuvk with the wee stpid thing for now"
worry,"So much to do this summer, hopefully all comes in favor and nothing has to be cancelled  worked hard for it..."
surprise,@maggit we tried yesterday and they said no
worry,sorry my bad.
worry,@markharr You'll be waiting a loooong time
happiness,@Colie5cent $300 later... I feel so good! But guilty
sadness,"rode the moped to the mall. fun stuff, its flippin gorgeous out. I'm sad that @maeannette is sick"
sadness,no Santa cruz for me  but I do have an interview at jamba tomorrow morning (:
neutral,Packing...
happiness,"@mellalicious I have to call stevie to reschedule!!  I won a competition yesterday to the launch of sims 3 at Luna park, same day at 6pm"
love,@newbouldm I love sausage too  #kitchenfire
neutral,"@WhoaOhNo I know, i know...  -hugs-"
love,Look what I got for lunch today!! A cheese empanada and tequeï¿½os Venezuelan style!!!! I miss this soooo much!  http://yfrog.com/14lyij
neutral,@fmulder21 why not?
neutral,@missy721 That is EXACTLY how I feel right now.
worry,turning laptop of. i'm scared  poor baby.
sadness,Summer/ Yet I have to read 6 books.... 6 LONG books
worry,wonders if anyone would care if she died tomorrow
neutral,Night twitterland x I have to be up in five hours  sigh
sadness,Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it's repeated? Must investigate!
relief,My best mate found out that I am moving. She doesn't understand I wanna do something with my life; Leaving to go to Uni..
worry,"@Tayluvsbroadway yeah  fail times. she was in an accident like a month ago, too, almost same thing. was on the bus on her motorscooter"
neutral,@lizridley did you get my text?
happiness,@Cadwaladr omg yes!!!!!!! but I have to get ready for work early tonight  I have payroll distribution duty
neutral,I have to work tomorrow too sheli
worry,still sick  thinking about naming the puppy june
hate,Which would be a lot easier to get if plane tickets to AZ didnt raise $80 in price
neutral,"I was talking with my best friend ï¿½ureo about i-phones, Rio de Janeiro, and valentines day in Brazil. He has a girlfriend and Iï¿½m not"
worry,@Audioprincess  Ah bad times   I hate exams. I feel so unprepared this time as well. Sucks haha.
worry,My blackberry is soon approaching her death
worry,Such a headache  It's killen me!
enthusiasm,"so bored  Gonna go to the Carnival and get an all day pass tomorrow. Excited for that, but very bored today."
neutral,i miss you bby      wish you were going tomorrow to make me do good.
worry,"@Mcpattz I hope u enjoyed it and your back is now feeling much more better  God,its 1:20am...heading to bed  God..too late..good night"
sadness,@LucySiebens I think they are disgusting
worry,"trying to upload a custom background on here, but it's not working"
worry,acho q to
happiness,@cassetetapes  shareeee.
neutral,@NeSsIe_Cullen10 I wish you were here with me right now
hate,@thehypercube - touched a real live Cube in Hamilton. Dealership closed - couldn't sit in it though
sadness,all dressed up and no where to go...
sadness,homework on a friday night...lame
neutral,"@FoxyOxymoron I would have, but SuperTarget didn't have any."
worry,@WerewolfEmbry I'm sorry.
sadness,found out my &quot;friend&quot; isnt actually. but hey shit happens.
sadness,@AyeBloodyRight no i mean 2moz. I'm workin' 7-1 in a bakers then 6-4 later in a pub
love,seeing the gf 5 days in a row for a few hours each day is amazing-just wish the location wasn't a hospital
worry,Gettin ready to head back to Chi...don't wanna leave Indy  #fb
worry,@lauradanner I am lost. Please help me find a good home.
empty,missing mrs mcfox
sadness,Was just in a wreck. Getting real sore now. It was their fault and they didn't have insurance. Was planning to go to the wedding tonight
sadness,@Kat_785 yeah now I'm done BUT I have to work all weekend  I'm sooooo bummed about it
worry,@saraht578 What software do you use to design sites? I'm a CS student and currently I hard code everything. It's not the fastest way...
neutral,@karamat There is good cholesterol. There are no good tumors.
worry,has broken off the fb wedding so sadly no longer has an excuse to get @ hauntingxealot to Goulburn
worry,off work early
enthusiasm,@zachsang  do it at like like 9 causeee im babysitting haha or you should call me causeee im kinda bored right now
neutral,so bored. nothing to do
hate,Yay for St Louis traffic
worry,Thinks she's getting sick.....
sadness,The sun is breaking through the clouds!...and now it's covered up again.
worry,At the orthodontisssttt
worry,trying to fix my internet connection...guess my 'prayers' have been answered and i wont have any study distractions  ugh
surprise,@ItsPrecious that's meAn
neutral,@gawow: probably not  I want to go home
worry,@jarnmang  Hope everything ok! Can burr fix this?
worry,@abbefied Bummer- that is a bad experience.
worry,Waiting to put my story about Stereo Skyline up. Don't know where to put it. BOOOO
worry,@thatkidkevin my phone died
surprise,"@wowshaggy ooft what pub? I'm off 2moro, but I have a backlog of what people call work to finish. Doubt I'll do it"
sadness,I dont want to be ugly anymore
empty,is home alone.. Doing hw
worry,@mamamikey paramore makes me want to punch babies  lol
sadness,@jaredque gets to go home. I'm here until 10:30
worry,r u still there? ? I guess not    i want to talk to you
neutral,Is my picture showing?
sadness,last day of school and last concert of my life.. wow.. can you say emotional? im really gonna miss mhs..  had graduation practice today..
sadness,@say_stephanie im so pissed i couldnt make an instore at hot topic in the rockaway mall to see @nicksantino.  haha no he wont.
worry,"im in pain, shit"
happiness,@spookygirl what a great project!!! Wish I could have done that with DD1. She's too old now.
happiness,@dougiemcfly http://twitpic.com/67uc7 - awww it's a shame that your all flued up  but apparently it's realllly good stuff. good luck f ...
neutral,June gloom seems to have arrived early
hate,my phone is dead  this sucks
worry,@AdamSchwabe Oh no....Sorry to hear that ....
neutral,@davejmatthews @slessard just wanna be there tonight
neutral,"Marley won't watch the French Open unless it's in HD, which it's not...   But my latest political ad is: http://tinyurl.com/lvsn76"
worry,"Prayin for dad  in Wellington, FL http://loopt.us/F8_Jqg.t (via @furman27).       I too live in welly.  May i pray for you?"
empty,look how @exotic @BADDESTnLA choke on this dick talks to me
worry,kind of.i'm trying to make sure i have everything yet still look after the boy.hubby isn't home yet
sadness,"I will miss my City when we leave...priciness, pollution, panhandlers and all"
neutral,Really really cant sleep  x
sadness,So I love my mac but msn doesn't work on it still
worry,"@KSdaisy Oh, that sounds bed..poor girl"
hate,"@foodphilosophy seriously, technology isn't always my friend. Nothing like doing double research."
surprise,@currykidd rofl. room is too small to dance
sadness,I hve a blister on my pinky nd it hurts soooo much!
sadness,I lost 15 dollars. I always lose my money
empty,Twitter stop being a dick and let me change my background image!  (imagine a shiny NHL ring in the background)
love,@Jonasbrothers I like all the songs  I can't say just one guys! love ya
worry,@Twinnikkib too late  I'm already on the bus goin home  what the he'll u talkin about drinkin tea????
neutral,@hughsbeautiful Yes yes she is indeed nuts! ... Like me... though i am not rich  Tut x
happiness,"at least two to three times a week i turn on the tv, find comedy central already on and have to endure a brief moment of scrubs"
hate,Stupid storm. No river for us tonight
happiness,@ce_ci ewww poor you  wish you all the best! thank God there is Rolland Garros this month isn't?! ;P
love,@EmilyKSalcedo Flew home from London to NI to catch up with the family and caption a show ... Everyone went to bed early and left me!!
worry,@ryansporn Don't be mad at me.  Please? ::puppy dog eyes::
worry,I took her cracker now she doesn't love me
neutral,Wants to go home
neutral,@allisonfelmet What's wrong?
fun,I think I already regret telling rick I have an xbox... I'm losing him to that and twitter..  you still want it jimbo haha
surprise,"@xFrankieMonster haha. lucky, I havent seen it yet  It fucking sucks ."
neutral,@PassionMD i keep thinking about FOOD! i made myself some tea
hate,@littlelindseyyy i hate it
worry,@nerak35 hello 30stm-fan  another one that's cool. i don't know one fan of them in person only via the net  so how are you?
love,Just loaned out a set of aerobars to team mate for tomorrow's Texas Cup race at Alkek. Bummed I won't be there.
neutral,I'm not feeling this weather today where is the  Sun @
neutral,I hate the dryer.
sadness,"@allysonbrianna Well, yeah. But my mom doesn't wanna drive all the way to Sac if we were that far away."
sadness,"@HimOverThere awww, poor leg!  *sends virtual hug* x"
sadness,too many good shows coming up and no money to buy tickets. fmfl. brand new at the troub?
hate,Headed to Chicago for my cousin's wedding. Leaving at 5pm on a Friday was a horrible idea. Sitting stopped in traffic
worry,Working on something exciting... and I cannot tweet about it for several months
neutral,@chelseachase if i had a car
surprise,@ericajo42 @saynerd01 oh look! it's our new house in santa barbara! http://i41.tinypic.com/2hi2t4y.jpg  hahha i wish
neutral,@LDYoung I like them.  Is that weird?
worry,@architeuth1s oh no fair.... thats in 9 hours
surprise,after I said hi how are you she did at double take &amp; left. Damn it I should have let her look around first
neutral,night to @applecored - the light dims as you leave the chat room
enthusiasm,This day jus keeps getting better and better  FML
sadness,fucking hates goodbyes
happiness,"Prayin for dad  in Wellington, FL http://loopt.us/F8_Jqg.t (via @furman27).  I too live in welly. May i pray f.. http://bit.ly/lB9SN"
neutral,working until10
neutral,Bloody intrusive thoughts. I'm really going to bed now
neutral,phones about to die  ttfn!
love,@jeskamitch Hahah! That was the best! Thank god for Terry he was laughing so hard. I miss him   I remember racing trucks with him that ...
fun,Ate huge set of Appetizers. full now
neutral,@ceciliabedelia i know so lame
worry,Unanticipated thunderstorm quashed camping trip
surprise,There's a huge bulldyke eyein me
sadness,Missed the play
worry,Just got my marks...  BCIT is the death of me I swear!
